DVDRef	DVDNumber	BroodRef	BroodName	NestboxRef	NestboxName	OffspringNo	Age	DVDdate	DVDtime	Weather	Wind	SocialDadID	SocialMumID	SocialDadID.2009to11frommyDBparents	SocialMumID.2009to11frommyDBparents	changedfromDB
3826	VM0496	1609	M151	68	LM4	4	11	16/07/2013	08:47	0	1	4960	4873	4960	4873	NA
3838	VM0497	1582	M124	55	LM3	1	8	18/07/2013	09:42	0	0	4960	4961	4960	4961	NA
3828	VM0498	1580	M122	71	LM6	2	10	17/07/2013	06:08	0	0	6489	4975	6489	4975	NA
3829	VM0499	1578	M120	37	LM15	2	10	17/07/2013	08:14	0	1	NA	6530	NA	6530	NA
3831	VM0500	1603	M145	41	LM19	3	11	17/07/2013	08:12	0	1	4895	5140	4895	5140	NA
3832	VM0501	1585	M127	44	LM21	3	6	17/07/2013	06:09	0	0	5489	6499	5489	6499	NA
3833	VM0502	1623	M165	47	LM23	4	5	17/07/2013	06:10	0	0	5489	5014	5489	5014	NA
3834	VM0503	1604	M146	62	LM36	4	11	17/07/2013	08:40	0	1	5393	6290	5393	6290	NA
3835	VM0504	1577	M119	144	W5	4	10	17/07/2013	09:51	0	1	6280	6392	6280	6392	NA
3836	VM0505	1624	M166	97	MR3	3	5	17/07/2013	09:55	0	1	NA	6420	6455	6420	NA
3839	VM0506	1581	M123	33	LM11	2	10	18/07/2013	06:17	0	1	5461	4967	5461	4967	NA
3840	VM0507	1625	M167	36	LM14	4	5	18/07/2013	06:16	0	1	6371	6526	6371	6526	NA
3841	VM0508	1606	M148	241	LM41	4	11	18/07/2013	06:17	0	1	5202	6387	5202	6387	NA
3842	VM0509	1586	M128	120	W10	3	8	18/07/2013	10:21	0	1	5222	6543	5222	6543	NA
3843	VM0510	1587	M129	123	W13	3	6	18/07/2013	08:01	0	1	5449	6638	5449	6638	NA
3844	VM0511	1607	M149	131	W20	3	11	18/07/2013	08:00	0	1	6436	6460	6436	6460	NA
3845	VM0512	1608	M150	16	F4	4	11	18/07/2013	11:02	1	1	5623	6323	5623	6323	NA
3846	VM0513	1583	M125	115	S3	4	8	18/07/2013	11:36	1	1	4682	4576	4682	4576	NA
3848	VM0514	1585	M127	44	LM21	3	8	19/07/2013	09:30	0	2	5489	6499	5489	6499	NA
3849	VM0515	1612	M154	129	W19	4	11	19/07/2013	09:20	0	1	6344	6316	6344	6316	NA
3855	VM0516	1626	M168	18	F6	4	5	19/07/2013	09:43	0	1	4943	5294	4943	5294	NA
